Epoch,Time (seconds),Time (milliseconds)
1,0.030644426345825145,30.644426345825146
51,0.029974279403686476,29.974279403686477
101,0.030193409919738724,30.193409919738723
151,0.03580606460571284,35.80606460571284
201,0.03365520477294917,33.65520477294917
251,0.03148731231689449,31.487312316894492
301,0.02923227787017817,29.23227787017817
351,0.03391546249389644,33.915462493896435
401,0.03478290081024164,34.78290081024164
451,0.03569237709045406,35.69237709045406
501,0.038668727874755816,38.66872787475582
551,0.03779192924499506,37.79192924499506
601,0.03449368000030513,34.49368000030513
651,0.030987615585327102,30.987615585327102
701,0.033295941352844194,33.295941352844196
751,0.03578111171722408,35.781111717224086
801,0.036187095642089794,36.187095642089794
851,0.03649332523345942,36.493325233459416
901,0.03223359107971186,32.233591079711864
951,0.031673450469970645,31.673450469970646
